LCSC Part Number;Manufacture Part Number;Manufacturer;Package;Customer #;Description;RoHS;Order Qty.;Min\Mult Order Qty.;Unit Price;Ext.Price;Product Link
C17673;0805W8F4701T5E;UNI-ROYAL(Uniroyal Elec);0805;;125mW Thick Film Resistors 150V ±100ppm/? ±1% 4.7k? 0805  Chip Resistor - Surface Mount ROHS;yes;10;100;0.0018;0.02;https://assets.lcsc.com/images/lcsc/96x96/20230217_UNI-ROYAL-Uniroyal-Elec-0805W8F4701T5E_C17673_front.jpg
C17513;0805W8F1001T5E;UNI-ROYAL(Uniroyal Elec);0805;;125mW Thick Film Resistors 150V ±100ppm/? ±1% 1k? 0805  Chip Resistor - Surface Mount ROHS;yes;5;100;0.0018;0.01;https://assets.lcsc.com/images/lcsc/96x96/20221228_UNI-ROYAL-Uniroyal-Elec-0805W8F1001T5E_C17513_front.jpg
C52548;0805W8F330LT5E;UNI-ROYAL(Uniroyal Elec);0805;;125mW Thick Film Resistors 150V ±800ppm/? ±1% 330m? 0805  Chip Resistor - Surface Mount ROHS;yes;1;100;0.0035;0.01;https://assets.lcsc.com/images/lcsc/96x96/20221230_UNI-ROYAL-Uniroyal-Elec-0805W8F330LT5E_C52548_front.jpg
C17807;0805W8F7501T5E;UNI-ROYAL(Uniroyal Elec);0805;;125mW Thick Film Resistors 150V ±100ppm/? ±1% 7.5k? 0805  Chip Resistor - Surface Mount ROHS;yes;1;100;0.0018;0.01;https://assets.lcsc.com/images/lcsc/96x96/20221228_UNI-ROYAL-Uniroyal-Elec-0805W8F7501T5E_C17807_front.jpg
C4310;0805W8F1501T5E;UNI-ROYAL(Uniroyal Elec);0805;;125mW Thick Film Resistors 150V ±100ppm/? ±1% 1.5k? 0805  Chip Resistor - Surface Mount ROHS;yes;1;100;0.0018;0.01;https://assets.lcsc.com/images/lcsc/96x96/20230331_UNI-ROYAL-Uniroyal-Elec-0805W8F1501T5E_C4310_front.jpg
C17604;0805W8F2001T5E;UNI-ROYAL(Uniroyal Elec);0805;;125mW Thick Film Resistors 150V ±100ppm/? ±1% 2k? 0805  Chip Resistor - Surface Mount ROHS;yes;4;100;0.0018;0.01;https://assets.lcsc.com/images/lcsc/96x96/20221228_UNI-ROYAL-Uniroyal-Elec-0805W8F2001T5E_C17604_front.jpg
C23241;0603WAF7500T5E;UNI-ROYAL(Uniroyal Elec);0603;;100mW Thick Film Resistors 75V ±100ppm/? ±1% 750? 0603  Chip Resistor - Surface Mount ROHS;yes;1;100;0.0010;0.01;https://assets.lcsc.com/images/lcsc/96x96/20221229_UNI-ROYAL-Uniroyal-Elec-0603WAF7500T5E_C23241_front.jpg
C25804;0603WAF1002T5E;UNI-ROYAL(Uniroyal Elec);0603;;100mW Thick Film Resistors 75V ±100ppm/? ±1% 10k? 0603  Chip Resistor - Surface Mount ROHS;yes;4;100;0.0010;0.01;https://assets.lcsc.com/images/lcsc/96x96/20221229_UNI-ROYAL-Uniroyal-Elec-0603WAF1002T5E_C25804_front.jpg
C21190;0603WAF1001T5E;UNI-ROYAL(Uniroyal Elec);0603;;100mW Thick Film Resistors 75V ±100ppm/? ±1% 1k? 0603  Chip Resistor - Surface Mount ROHS;yes;1;100;0.0008;0.01;https://assets.lcsc.com/images/lcsc/96x96/20221229_UNI-ROYAL-Uniroyal-Elec-0603WAF1001T5E_C21190_front.jpg
C22980;0603WAF3601T5E;UNI-ROYAL(Uniroyal Elec);0603;;100mW Thick Film Resistors 75V ±100ppm/? ±1% 3.6k? 0603  Chip Resistor - Surface Mount ROHS;yes;1;100;0.0011;0.01;https://assets.lcsc.com/images/lcsc/96x96/20230218_UNI-ROYAL-Uniroyal-Elec-0603WAF3601T5E_C22980_front.jpg
C17408;0805W8F1000T5E;UNI-ROYAL(Uniroyal Elec);0805;;125mW Thick Film Resistors 150V ±100ppm/? ±1% 100? 0805  Chip Resistor - Surface Mount ROHS;yes;1;100;0.0018;0.01;https://assets.lcsc.com/images/lcsc/96x96/20221228_UNI-ROYAL-Uniroyal-Elec-0805W8F1000T5E_C17408_front.jpg
C17475;0805W8F1502T5E;UNI-ROYAL(Uniroyal Elec);0805;;125mW Thick Film Resistors 150V ±100ppm/? ±1% 15k? 0805  Chip Resistor - Surface Mount ROHS;yes;3;100;0.0018;0.01;https://assets.lcsc.com/images/lcsc/96x96/20221228_UNI-ROYAL-Uniroyal-Elec-0805W8F1502T5E_C17475_front.jpg
C2894984;PZ254-2-04-W-8.5;HCTL;Push-Pull,P=2.54mm;;3A Right-Angle Square Pins 2.5mm 8P 6mm -40?~+105? 2.54mm ?? Black 2.54mm 2x4P Push-Pull,P=2.54mm  Pin Headers ROHS;yes;1;5;0.1097;0.11;https://assets.lcsc.com/images/lcsc/96x96/20230107_HCTL-PZ254-2-04-W-8-5_C2894984_front.jpg
C2894986;PZ254-2-06-W-8.5;HCTL;Push-Pull,P=2.54mm;;3A Right-Angle Square Pins 2.5mm 12P 6mm -40?~+105? 2.54mm ?? Black 2.54mm 2x6P Push-Pull,P=2.54mm  Pin Headers ROHS;yes;2;5;0.1707;0.34;https://assets.lcsc.com/images/lcsc/96x96/20230107_HCTL-PZ254-2-06-W-8-5_C2894986_front.jpg
C319160;U254-051T-4BH83-S1S;XKB Connectivity;SMD;;1.8A USB 2.0 1 260? Surface Mount?Right Angle 5P Female -20?~+85? Gold Copper Alloy Micro-B SMD  USB Connectors ROHS;yes;2;10;0.0672;0.13;https://assets.lcsc.com/images/lcsc/96x96/20181025_XKB-Connectivity-U254-051T-4BH83-S1S_C319160_front.jpg
C10681;ACS712ELCTR-20A-T;Allegro MicroSystems, LLC;SOIC-8;;20A SOIC-8  Current Sensors ROHS;yes;1;1;1.6037;1.60;https://assets.lcsc.com/images/lcsc/96x96/20180914_Allegro-MicroSystems--LLC-ACS712ELCTR-20A-T_C10681_front_10.jpg
C189475;ATMEGA4809-AFR;Microchip Tech;TQFP-48(7x7);;48KB 1.8V~5.5V AVR 6KB 20MHz FLASH 41 TQFP-48(7x7)  Microcontroller Units (MCUs/MPUs/SOCs) ROHS;yes;1;1;3.9137;3.91;https://assets.lcsc.com/images/lcsc/96x96/20230905_Microchip-Tech-ATMEGA4809-AFR_C189475_front.jpg
C2156551;LM4040DIM3-2.5+T;Analog Devices Inc./Maxim Integrated;SOT-23;;2.5V ±1% 15mA Fixed SOT-23  Voltage References ROHS;yes;1;1;0.5378;0.54;-
